,Winery,Points_Mean,Price_Mean,Points_Median,Price_Median,Total_Reviews,N_Varieties,Varieties,Country,Province,Region
3983,Chronicle,91.8,49.8,93.0,54.0,6,2,"['Chardonnay', 'Pinot Noir']",US,California,"['Sonoma Coast', 'Sonoma']"
3984,Chrysalis,83.0,24.0,83.0,24.0,1,1,['Albariño'],US,Virginia,['Virginia']
3985,Chrysorroyiatissa,86.0,14.0,86.0,14.0,2,1,['White Blend'],Cyprus,Cyprus,[]
3986,Chrysorroyiatissa,88.0,14.0,88.0,14.0,1,1,['White Blend'],Cyprus,Pafos,[]
3987,Chumeia,83.6,18.3,84.0,14.0,13,8,"['Barbera', 'Zinfandel', 'Viognier', 'Chardonnay', 'Cabernet Sauvignon', 'Pinot Blanc', 'Pinot Noir', 'Red Blend']",US,California,"['Paso Robles', 'Central Coast']"
3988,Church & State,89.8,29.2,90.0,31.0,4,4,"['Cabernet Franc', 'Syrah', 'Rhône-style White Blend', 'Chardonnay']",Canada,British Columbia,['Okanagan Valley']
3989,Church & State,88.0,15.0,88.0,15.0,1,1,['Red Blend'],US,California,"['California', 'California Other']"
3990,Church Road,90.0,,90.0,,2,2,"['Syrah', 'Cabernet Merlot']",New Zealand,Hawke's Bay,[]
3991,Churchill Cellars,88.4,43.1,88.5,45.0,14,2,"['Pinot Noir', 'Chardonnay']",US,California,"['Russian River Valley', 'Sonoma']"
3992,Churchill's,88.3,31.5,88.0,28.0,15,5,"['Portuguese Red', 'Touriga Nacional', 'Rosé', 'Portuguese White', 'Port']",Portugal,Douro,[]
3993,Churchill's,89.9,55.5,90.0,55.5,15,1,['Port'],Portugal,Port,[]
3994,Churchill's,93.0,82.0,93.0,82.0,1,1,['Port'],Portugal,Portugal,[]
3995,Churton,88.0,29.0,88.0,29.0,1,1,['Pinot Noir'],New Zealand,Marlborough,[]
3996,Château  de Paraza,83.0,9.0,83.0,9.0,1,1,['Red Blend'],France,Languedoc-Roussillon,['Minervois']
3997,Château Abelyce,88.0,45.0,88.0,45.0,1,1,['Merlot'],France,Bordeaux,['Saint-Émilion']
3998,Château Acker-Perreau,85.0,18.0,85.0,18.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux']
3999,Château Ad Francos,87.0,38.0,87.0,38.0,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Francs Côtes de Bordeaux']
4000,Château Aiguilhe Querre,88.5,19.0,88.5,19.0,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Castillon Côtes de Bordeaux']
4001,Château Alcée,91.0,,91.0,,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Castillon Côtes de Bordeaux']
