Winery,Country,Province,Mean_Price,Mean_Points,Wines,Variety_Count
Broke Ass,Argentina,Mendoza Province,4.0,84.0,1,1
Pam's Cuties,US,California,4.0,83.0,1,1
Toca Diamonte,Argentina,Mendoza Province,4.5,82.5,2,1
Terrenal,Spain,Levante,4.5,83.5,4,2
Terrale,Italy,Sicily & Sardinia,5.0,82.0,1,1
Mancan,US,California,5.0,85.33333333333333,3,3
Zamarro,Argentina,Mendoza Province,5.0,84.0,1,1
Belle Made For You,France,France Other,5.0,83.33333333333333,3,3
Terrenal,Chile,Curicó Valley,5.0,83.0,1,1
Terrale,Italy,Southern Italy,5.0,83.0,1,1
Landshut,Germany,Mosel,5.0,85.0,2,1
Kelly's Revenge,Australia,Australia Other,5.0,82.0,3,3
Landshut,Germany,Mosel-Saar-Ruwer,5.0,82.0,1,1
Falling Star,Argentina,Other,5.0,83.25,4,4
Walnut Crest,Chile,Central Valley,5.0,84.0,1,1
House Band,US,California,5.0,83.0,2,2
Chaza,South Africa,Western Cape,5.0,83.0,1,1
Earth's Harvest,US,California,5.0,85.5,2,2
Lagosta,Portugal,Vinho Verde,5.0,82.66666666666667,3,2
Doña Sol,US,California,5.0,84.0,1,1
Redbud,US,California,5.0,81.0,1,1
Viña Decana,Spain,Levante,5.0,83.0,2,1
Terrenal,Argentina,Mendoza Province,5.0,80.0,1,1
Adega Cooperativa da Batalha,Portugal,Portuguese Table Wine,5.0,84.0,1,1
Belmondo,Italy,Lombardy,5.5,82.0,2,1
La Francesca,Italy,Veneto,5.5,83.5,2,1
Fusée,US,California,5.666666666666667,85.33333333333333,3,3
Bandit,US,California,5.666666666666667,84.16666666666667,6,3
Casaleiro,Portugal,Ribatejo,6.0,85.0,2,2
Azienda Vinicola Fratelli Fabiano,Italy,Southern Italy,6.0,85.0,1,1
Vignobles de France,France,Languedoc-Roussillon,6.0,81.0,2,2
Tate Creek,US,California,6.0,84.0,1,1
Two Vines,US,Washington,6.0,85.0,5,4
Domaines Grassa,France,Southwest France,6.0,84.0,1,1
4R4U,Spain,Northern Spain,6.0,87.0,1,1
Ezio,Argentina,Other,6.0,85.0,1,1
Côtnar Hills,Ukraine,Ukraine,6.0,84.0,3,3
King Fish,US,California,6.0,83.0,1,1
Berco Do Infante,Portugal,Estremadura,6.0,85.0,1,1
Bel Arbor,US,California,6.0,84.0,2,2
Hickory Ridge,Morocco,Beni M'Tir,6.0,82.0,1,1
Calama,Chile,Central Valley,6.0,83.0,1,1
Calama,Chile,Curicó Valley,6.0,82.0,1,1
Santero,Italy,Southern Italy,6.0,84.0,1,1
Herdade do Esporão,Portugal,Portugal,6.0,83.0,1,1
Tawert S.A.,Argentina,Mendoza Province,6.0,81.66666666666667,3,3
Landshut,Germany,Rheinhessen,6.0,88.0,1,1
Iranzo Fields,Spain,Levante,6.0,85.0,1,1
Ironwood,Australia,Australia Other,6.0,84.0,1,1
Zonin,Italy,Central Italy,6.0,81.0,1,1
Johannes Kunz,Germany,Mosel,6.0,87.0,1,1
Viña Mayte,Spain,Central Spain,6.0,83.0,1,1
Viña do Val,Spain,Spain Other,6.0,81.0,1,1
Manta,Chile,Central Valley,6.0,86.0,1,1
Walnut Crest,Chile,Casablanca Valley,6.0,86.0,1,1
Gonfalone,Italy,Tuscany,6.0,82.0,1,1
St. George Coastal,US,California,6.0,83.0,1,1
Viña Borgia,Spain,Northern Spain,6.0,85.0,1,1
Dalfiume,Italy,Central Italy,6.0,87.0,1,1
El Copero,Spain,Levante,6.0,83.0,1,1
Bocce,US,California,6.0,84.0,1,1
Paso del Sol,Chile,Central Valley,6.0,82.0,3,3
Kanga Reserve,Australia,Australia Other,6.0,84.0,1,1
Soldo,Italy,Veneto,6.0,83.0,1,1
Le Pépin,France,France Other,6.2,84.8,5,5
Banrock Station,Australia,Australia Other,6.214285714285714,84.42857142857143,14,6
Makulu,South Africa,Western Cape,6.25,84.25,4,4
Sutter Home,US,California,6.25,82.75,4,4
Cooperativa Reguengos de Monsaraz,Portugal,Alentejano,6.5,84.5,2,1
Campos Reales,Spain,Central Spain,6.5,84.25,4,2
Funky Llama,Argentina,Mendoza Province,6.5,82.5952380952381,42,9
Dão Sul,Portugal,Estremadura,6.6,86.0,5,2
Crane Lake,US,California,6.666666666666667,83.66666666666667,3,3
Quinta da Aveleda,Portugal,Vinho Verde,6.666666666666667,84.0,3,3
Eye Candy,US,California,6.666666666666667,82.33333333333333,3,3
Cantine Riunite,Italy,Central Italy,6.75,82.25,4,1
René Barbier,Spain,Catalonia,6.9,83.5,10,5
J. Garcia Carrion,Spain,Central Spain,6.916666666666667,83.66666666666667,12,8
Quinta Monteiro de Matos,Portugal,Tejo,7.0,83.0,1,1
Val Duná,Romania,Plaiurile Drancei,7.0,84.0,1,1
Zarpado,Argentina,Mendoza Province,7.0,85.5,2,1
Trevisana,Italy,Veneto,7.0,85.0,2,1
La Riojana Coop,Argentina,Other,7.0,82.0,1,1
Mar de León,Spain,Northern Spain,7.0,81.0,1,1
Fleur de Nuit,Spain,Catalonia,7.0,85.0,1,1
Domaine de L'Olivier,France,Languedoc-Roussillon,7.0,82.0,1,1
Cavas del Conde,Argentina,Mendoza Province,7.0,81.0,1,1
J.P. Vinhos,Portugal,Terras do Sado,7.0,83.0,1,1
Pampano,Argentina,Other,7.0,83.0,1,1
Caviro,Italy,Central Italy,7.0,82.0,1,1
Caves da Montanha,Portugal,Vinho Verde,7.0,88.0,1,1
Red Fox,Portugal,Alentejo,7.0,83.0,1,1
Real del Pedro,Argentina,Mendoza Province,7.0,84.0,1,1
Château de Monrecueil,France,Bordeaux,7.0,85.0,4,1
Finca Milena,Spain,Levante,7.0,83.0,1,1
Gotan,Argentina,Mendoza Province,7.0,85.0,1,1
Quinta de Cabriz,Portugal,Dão,7.0,89.0,1,1
CalNaturale,US,California,7.0,85.0,1,1
Yelcho,Chile,Rapel Valley,7.0,81.0,1,1
Kirkland Signature,Spain,Northern Spain,7.0,88.0,1,1
Serenissima,Italy,Veneto,7.0,85.0,1,1
Finca del Valle,Argentina,Mendoza Province,7.0,82.0,1,1
Global Wines,Portugal,Vinho Verde,7.0,85.0,1,1
Painter Bridge,US,California,7.0,82.5,2,2
Cà del Doge,Italy,Veneto,7.0,84.0,1,1
Kirkland Signature,Italy,Northeastern Italy,7.0,84.0,2,1
Finisterra,Portugal,Alentejano,7.0,84.0,4,2
VinArte,Italy,Tuscany,7.0,84.0,1,1
Crucillon,Spain,Northern Spain,7.0,86.0,3,1
Abrazo,Spain,Northern Spain,7.0,84.2,5,3
Caves Dom Teodosio,Portugal,Vinho Verde,7.0,85.0,1,1
Sei Amici,Italy,Central Italy,7.0,83.0,2,1
Domino,Argentina,Mendoza Province,7.0,82.0,1,1
Galadino,Italy,Tuscany,7.0,83.0,1,1
Yvon Mau,France,Languedoc-Roussillon,7.0,84.0,1,1
Lulu B.,US,California,7.0,83.0,1,1
Vini,Bulgaria,Sliven,7.0,86.0,1,1
Caves Bonifacio,Portugal,Portuguese Table Wine,7.0,83.5,2,1
Quinta da Romeira,Portugal,Palmela,7.0,87.0,1,1
Terra Nova,Chile,Curicó Valley,7.0,81.5,2,2
Ariano,Uruguay,Canelones,7.0,81.0,2,2
Mystic Cliffs,US,California,7.0,84.33333333333333,3,3
Caves da Montanha,Portugal,Alentejano,7.0,84.0,2,2
La Granja 360,Spain,Catalonia,7.0,84.0,1,1
Pine & Post,US,Washington,7.0,85.38461538461539,13,5
Bloom,Germany,Nahe,7.0,83.0,1,1
Montesierra,Spain,Northern Spain,7.0,81.0,1,1
flipflop,Chile,Chile,7.0,80.5,2,2
Cameron Hughes,Romania,Viile Timisului,7.0,86.5,2,2
San Telmo,Argentina,Mendoza Province,7.0,83.0,4,4
Ermelinda Freitas,Portugal,Palmela,7.0,84.0,1,1
Gôiya,South Africa,Western Cape,7.0,84.0,1,1
Robert Giraud,France,Languedoc-Roussillon,7.0,81.0,1,1
Outback Chase,Australia,Australia Other,7.0,83.5,2,2
Origin,Germany,Rheingau,7.0,85.0,1,1
Calvet,France,Languedoc-Roussillon,7.0,85.5,2,2
Rivani,Italy,Veneto,7.0,83.0,1,1
Riparian,New Zealand,Marlborough,7.0,85.0,1,1
Monterey Vineyard,US,California,7.0,82.0,2,2
Cook's,US,California,7.0,84.0,2,1
Vignobles de France,France,Bordeaux,7.0,83.0,1,1
Mayoral,Spain,Levante,7.0,87.0,1,1
WYSIWYG,France,Languedoc-Roussillon,7.0,83.0,1,1
China Silk,China,China,7.0,82.0,1,1
Pierre Jean,France,Languedoc-Roussillon,7.0,83.0,1,1
Candidato,Spain,Central Spain,7.0,82.0,1,1
Kourtaki,Greece,Retsina,7.0,83.0,1,1
Les Domaines Auriol,France,France Other,7.0,86.0,1,1
Mont Saint-Vincent,France,Languedoc-Roussillon,7.0,81.0,1,1
Backhouse,US,California,7.0,84.18181818181819,11,5
Michel Laroche,France,Languedoc-Roussillon,7.0,83.0,2,2
Messias,Portugal,Vinho Verde,7.0,85.0,3,1
flipflop,US,California,7.0,84.11111111111111,9,7
Bella Sera,Italy,Northeastern Italy,7.0,84.0,2,1
Despierta,Spain,Central Spain,7.0,82.66666666666667,3,3
La Baume,France,Languedoc-Roussillon,7.0,82.0,1,1
Santini,Italy,Piedmont,7.0,84.0,1,1
Avia,Slovenia,Primorska,7.0,86.0,3,3
Tiziano,Italy,Tuscany,7.0,84.5,2,1
Santana,Spain,Northern Spain,7.0,84.0,1,1
Santana,Spain,Central Spain,7.0,86.0,1,1
Baron d'Arignac,France,Southwest France,7.0,85.0,1,1
Relincho,Argentina,Mendoza Province,7.0,82.0,1,1
Dunavar,Hungary,Felso-Magyarország,7.0,84.0,1,1
Infinitus,Spain,Central Spain,7.142857142857143,84.14285714285714,7,5
Beach Kite,Chile,Central Valley,7.142857142857143,82.85714285714286,7,4
Hilltown,US,California,7.153846153846154,84.07692307692308,13,5
Coastal Ridge,US,California,7.166666666666667,83.33333333333333,12,7
CK Mondavi,US,California,7.190476190476191,84.0,21,8
Riverside,US,California,7.2,82.8,5,4
Barefoot,US,California,7.24,83.8,25,12
Herdade dos Machados,Portugal,Alentejano,7.25,87.125,8,1
Alice White,Australia,Australia Other,7.277777777777778,83.77777777777777,18,8
TerraNoble,Chile,Central Valley,7.285714285714286,83.14285714285714,7,4
Robert's Rock,South Africa,Western Cape,7.333333333333333,84.66666666666667,3,2
Carta Vieja,Chile,Maule Valley,7.333333333333333,82.66666666666667,3,2
Bloom,Germany,Mosel-Saar-Ruwer,7.333333333333333,83.33333333333333,3,2
Caves Velhas,Portugal,Vinho Verde,7.333333333333333,84.25,4,3
Dominio de Eguren,Spain,Central Spain,7.375,84.91666666666667,24,6
Vercoope,Portugal,Vinho Verde,7.4,85.5,8,4
Tucker,US,Washington,7.5,84.5,2,2
Caves da Cerca,Portugal,Vinho Verde,7.5,85.0,2,1
La Vuelta,Argentina,Mendoza Province,7.5,85.33333333333333,6,3
Sommerau Castle,Germany,Mosel-Saar-Ruwer,7.5,84.0,2,1
Castellarin,Italy,Northeastern Italy,7.5,86.0,2,1
Casa de Sezim,Portugal,Vinho Verde,7.5,86.5,2,1
Riverina Estates,Australia,Australia Other,7.5,84.0,2,2
Château Labrousse,France,Bordeaux,7.5,86.66666666666667,3,1
Dão Sul,Portugal,Vinho Verde,7.5,86.25,4,1
McPherson Wine Company,Australia,Australia Other,7.5,85.5,6,5
Mommessin,France,Languedoc-Roussillon,7.5,82.75,4,3
Night Harvest by R.H. Phillips,US,California,7.5,83.0,4,4
Caliterra,Chile,Rapel Valley,7.5,83.5,2,1
Enoport,Portugal,Vinho Verde,7.5,84.6,5,2
Casa Solar,Spain,Central Spain,7.6,82.0,5,2
Chilcas,Chile,Central Valley,7.6,85.2,5,4
Little Penguin,Australia,Australia Other,7.666666666666667,83.0,3,3
Caves Aliança,Portugal,Vinho Verde,7.666666666666667,84.57142857142857,7,1
Barton & Guestier,France,Southwest France,7.666666666666667,85.66666666666667,3,1
Carmen,Chile,Central Valley,7.666666666666667,84.66666666666667,3,3
Domino,US,California,7.666666666666667,84.22222222222223,9,5
Castillo de Liria,Spain,Levante,7.666666666666667,83.66666666666667,3,3
Chilensis,Chile,Central Valley,7.714285714285714,83.28571428571429,7,5
Cramele Recas,Romania,Viile Timisului,7.75,86.2,20,8
Kalbarri,Australia,Australia Other,7.75,83.5,4,4
Felix Solis,Spain,Central Spain,7.8,85.2,5,3
Caliterra,Chile,Central Valley,7.857142857142857,84.85714285714286,7,5
Campelo,Portugal,Vinho Verde,7.888888888888889,83.44444444444444,9,3
Silvertop de Argentina,Argentina,Mendoza Province,8.0,84.0,1,1
Wily Jack,US,California,8.0,82.0,1,1
Dobbin Lane Wines,US,California,8.0,82.0,1,1
Aitor Ider Balbo,Argentina,Mendoza Province,8.0,82.0,1,1
Aresti,Chile,Chile,8.0,81.0,2,2
Motif,US,California,8.0,83.0,1,1
Broken Earth,Australia,Australia Other,8.0,82.5,2,2
Fat Croc,Australia,Australia Other,8.0,88.0,1,1
Maple Ridge,US,California,8.0,86.0,1,1
Paul Thomas,US,Washington,8.0,83.5,2,2
Mapreco,Portugal,Vinho Verde,8.0,82.33333333333333,3,2
Casa Girelli,Italy,Tuscany,8.0,85.0,1,1
Mission Park,US,California,8.0,86.0,1,1
The Original Dark Horse,US,California,8.0,82.0,2,2
Mommessin,France,Rhône Valley,8.0,84.0,1,1
Tiz,US,California,8.0,85.0,1,1
Al,US,California,8.0,88.0,1,1
Deinhard,Germany,Mosel-Saar-Ruwer,8.0,86.0,1,1
Casa de Campo,Argentina,Other,8.0,81.0,1,1
Plush,US,California,8.0,81.0,1,1
Mariposa,Argentina,Other,8.0,86.0,1,1
Bodegas del Mundo,Spain,Northern Spain,8.0,80.0,3,3
Ginestet,France,Southwest France,8.0,82.0,1,1
Ginestet,France,Languedoc-Roussillon,8.0,84.0,2,2
J. Garcia Carrion,Spain,Spain Other,8.0,82.5,4,2
Garnacha de Fuego,Spain,Northern Spain,8.0,83.5,2,1
Agustinos,Chile,Cachapoal Valley,8.0,85.0,1,1
Plaza de Mulas,Argentina,Mendoza Province,8.0,84.0,1,1
La Palma,Chile,Cachapoal Valley,8.0,84.8,5,5
Bodegas la Aldea,Spain,Levante,8.0,84.0,1,1
Bodegas la Aldea,Spain,Northern Spain,8.0,84.5,2,1
Château le Mayne Turon,France,Bordeaux,8.0,84.0,1,1
La Fiera,Italy,Central Italy,8.0,84.0,1,1
Marcel Martin,France,France Other,8.0,84.0,1,1
Placido,Italy,Tuscany,8.0,89.0,1,1
Monte Largo,Portugal,Estremadura,8.0,84.0,1,1
Skyleaf,New Zealand,Waipara Valley,8.0,86.0,1,1
Viña Collado,Spain,Northern Spain,8.0,85.0,1,1
Member's Mark,US,California,8.0,85.0,1,1
Skalli,France,Languedoc-Roussillon,8.0,84.0,2,2
Pierre Chainier,France,Languedoc-Roussillon,8.0,83.0,1,1
Tall Horse,South Africa,South Africa,8.0,84.0,1,1
Anterra,Italy,Northeastern Italy,8.0,85.0,1,1
Bodegas Tarima,Spain,Levante,8.0,87.0,1,1
Bodegas Aletta,Spain,Northern Spain,8.0,84.0,1,1
Woodbridge by Robert Mondavi,Germany,Mosel-Saar-Ruwer,8.0,82.0,1,1
Armand Roux,France,Bordeaux,8.0,84.0,1,1
Pierre Dupond,France,Beaujolais,8.0,85.5,2,1
SolAlto,Argentina,Other,8.0,83.0,2,2
Diamond Ridge,Australia,Australia Other,8.0,81.0,1,1
La Playa,Chile,Curicó Valley,8.0,83.0,1,1
Colle Nero,Italy,Tuscany,8.0,85.0,1,1
Santa Ines,Chile,Maipo Valley,8.0,87.5,2,2
Conviviale,Italy,Lombardy,8.0,84.0,1,1
Bauer Haus,Germany,Nahe,8.0,82.0,1,1
Chispas,Spain,Northern Spain,8.0,83.0,1,1
Dunavar,Hungary,Eger,8.0,84.0,1,1
Balbi,Argentina,Mendoza Province,8.0,83.0,1,1
Lonsdale Ridge,Australia,Victoria,8.0,85.0,1,1
Alto Roble,Chile,Curicó Valley,8.0,83.5,2,2
Ressò,Spain,Catalonia,8.0,85.0,4,2
Santa Florentina,Argentina,Other,8.0,83.0,3,3
Los Dos,Spain,Northern Spain,8.0,86.5,2,2
Santa Rita,Chile,Lontué Valley,8.0,83.8,5,2
CheapSkate,US,California,8.0,83.5,4,4
Aveleda,Portugal,Portuguese Table Wine,8.0,83.5,2,1
Dr. Willkomm,Germany,Mosel,8.0,87.0,1,1
Foodies,US,California,8.0,83.66666666666667,3,2
Cramele Recas,Romania,Romania,8.0,86.16666666666667,12,6
Castillo de Fuendeyalon,Spain,Northern Spain,8.0,86.0,1,1
Lost Vineyards,Argentina,Other,8.0,82.0,1,1
Cramele Recas,Romania,Viile Timis,8.0,84.0,1,1
Chevalier de Dyonis,Romania,Dealu Mare,8.0,84.0,1,1
Heavenly Retreat,Romania,Romania,8.0,84.0,1,1
Heavenly Retreat,Romania,Recas,8.0,85.0,1,1
Rivarey,Spain,Northern Spain,8.0,85.0,3,1
Balkan Hills,Bulgaria,Targovishte,8.0,85.0,1,1
SERVE,Romania,Dealurile Munteniei,8.0,85.0,1,1
Bandit,US,Washington,8.0,84.0,1,1
Banero,Italy,Veneto,8.0,84.0,1,1
Baobab,South Africa,Western Cape,8.0,87.0,1,1
Barefoot Refresh,US,California,8.0,84.5,2,2
El Prado,Spain,Levante,8.0,85.0,1,1
Royal Muscato,France,France Other,8.0,83.5,2,1
Taking Root,Moldova,Cahul,8.0,83.75,4,3
Talus Collection,US,California,8.0,85.0,1,1
Rothbury Estate,Australia,Australia Other,8.0,87.0,3,1
2 Copas,Argentina,Mendoza Province,8.0,81.0,1,1
Amaroo,Australia,New South Wales,8.0,82.0,1,1
Hacienda,US,California,8.0,84.0,2,2
Oracle,South Africa,Western Cape,8.0,81.0,1,1
Candido,Italy,Southern Italy,8.0,84.0,1,1
Lawson Ranch,US,California,8.0,84.0,1,1
Ermita San Antonio,Spain,Central Spain,8.0,84.0,1,1
José Maria da Fonseca,Portugal,Table wine,8.0,81.0,1,1
Hawthorne Ridge,Spain,Northern Spain,8.0,80.0,1,1
Healdsburg,US,California,8.0,82.0,1,1
Saveur des Vins de France,France,Bordeaux,8.0,85.0,1,1
Herzog Selection,France,Loire Valley,8.0,84.0,1,1
Jidvei,Romania,Tarnave,8.0,85.2,5,5
Domaine Boyar,Bulgaria,Sliven,8.0,85.0,1,1
Twisted,Argentina,Mendoza Province,8.0,80.0,1,1
Billabong,Australia,Australia Other,8.0,81.0,1,1
Ashland Vineyards,US,Oregon,8.0,83.0,1,1
Shale Ridge Vineyard,US,California,8.0,84.5,2,1
Zaza,Spain,Northern Spain,8.0,80.0,1,1
La Villa Veneta,Italy,Veneto,8.0,83.0,1,1
Quinta da Beira,Portugal,Dão,8.0,87.0,1,1
Vinex Slavyantsi,Bulgaria,Rose Valley,8.0,84.0,1,1
Capa,Spain,Central Spain,8.0,86.0,1,1
Queensgate,Australia,Australia Other,8.0,84.5,2,2
Yali,Chile,Lolol Valley,8.0,85.0,1,1
Black Swan,Australia,Australia Other,8.0,83.5,4,4
Malan,South Africa,Stellenbosch,8.0,86.0,1,1
DFJ Vinhos,Portugal,Setubal,8.0,85.0,1,1
Cape Collection,South Africa,Swartland,8.0,82.0,1,1
Quasar,Chile,Molina,8.0,82.66666666666667,3,3
DFJ Vinhos,Portugal,Terras do Sado,8.0,84.0,1,1
Almira,Spain,Northern Spain,8.0,86.5,2,1
Quadri,Italy,Northeastern Italy,8.0,87.0,1,1
Twisted,US,California,8.0,84.84615384615384,13,6
Viña Santa Monica,Chile,Rapel Valley,8.0,84.5,4,4
Big Fat Llama,Chile,Chile,8.0,83.0,1,1
Full Circle,US,California,8.0,85.33333333333333,3,3
Zagarrón,Spain,Central Spain,8.0,84.0,1,1
Rayun,Chile,Rapel Valley,8.0,87.0,1,1
Vino de Eyzaguirre,Chile,Colchagua Valley,8.0,82.0,1,1
Calamares,Portugal,Vinho Verde,8.0,83.0,2,2
Kilda,Australia,Australia Other,8.0,84.2,5,2
Stone Garden,US,California,8.0,83.0,2,2
Fisheye,US,California,8.0,83.75,4,4
Cava Negra,Argentina,Mendoza Province,8.0,85.0,1,1
Luianico,Italy,Tuscany,8.0,85.0,1,1
Domaine Borie de Maurel,France,Languedoc-Roussillon,8.0,89.0,1,1
Pallas,Spain,Central Spain,8.0,86.0,1,1
Oxford Landing,Australia,Australia Other,8.0,85.0,1,1
Château Moulin de Beauséjour,France,Bordeaux,8.0,86.0,1,1
Radio Boca,Spain,Levante,8.0,86.0,1,1
Viñedos Marchigüe,Chile,Curicó Valley,8.0,85.0,1,1
FVine,Portugal,Lisboa,8.0,84.0,1,1
FVine,Portugal,Vinho Verde,8.0,85.0,1,1
Domeniile Sahateni,Romania,Dealu Mare,8.0,85.0,2,2
Byzantium,Romania,Dealurile Munteniei,8.0,82.0,1,1
Kirkland Ranch,Argentina,Mendoza Province,8.0,84.0,1,1
Berberana,Spain,Central Spain,8.0,83.5,2,2
Purely Greece,Greece,Central Greece,8.0,86.0,1,1
Talus,US,California,8.071428571428571,83.5,14,7
Oak Grove,US,California,8.083333333333334,84.58333333333333,48,9
Woodbridge by Robert Mondavi,US,California,8.096153846153847,84.48076923076923,52,11
Lindemans,Australia,Australia Other,8.1,84.5,10,6
Redwood Creek,US,California,8.11111111111111,84.0,9,6
Round Hill,US,California,8.153846153846153,84.23076923076923,13,5
Barefoot Cellars,US,California,8.157894736842104,83.63157894736842,19,11
Rayun,Chile,Central Valley,8.166666666666666,83.5,6,3
Val d'Orbieu,France,Languedoc-Roussillon,8.166666666666666,83.16666666666667,6,6
Redtree,US,California,8.173913043478262,83.95652173913044,23,7
José Maria da Fonseca,Portugal,Vinho Verde,8.2,85.0,6,1
Alfasi,Chile,Maule Valley,8.2,83.4,5,4
Marqués de Reala,Spain,Northern Spain,8.2,83.8,5,1
Tall Horse,South Africa,Western Cape,8.25,84.75,4,3
Seigneurs de Bergerac,France,Southwest France,8.25,82.0,4,2
Adega Cooperativa Ponte de Barca,Portugal,Vinho Verde,8.25,84.16666666666667,12,3
Spinelli,Italy,Central Italy,8.285714285714286,84.42857142857143,7,4
Quinta do Serrado,Portugal,Dão,8.333333333333334,90.33333333333333,3,2
Zonin,Italy,Northeastern Italy,8.333333333333334,84.0,3,1
Morandé,Chile,Curicó Valley,8.333333333333334,82.66666666666667,3,1
Casa de Campo,Argentina,Mendoza Province,8.375,83.375,8,4
Louis Perdrier,France,France Other,8.4,84.0,5,1
Beelgara,Australia,Australia Other,8.4,84.4,5,4
Tango Sur,Argentina,Mendoza Province,8.4,83.6,10,7
Ambiente,Argentina,Mendoza Province,8.4,82.6,5,4
Arge & Tina,Argentina,Other,8.4,83.0,5,3
ForestVille,US,California,8.428571428571429,83.28571428571429,7,7
Camelot,US,California,8.428571428571429,83.42857142857143,14,7
Deakin Estate,Australia,Victoria,8.428571428571429,85.14285714285714,7,5
Barton & Guestier,France,Languedoc-Roussillon,8.428571428571429,84.0,14,6
Butterfield Station,US,California,8.461538461538462,81.92307692307692,13,5
Calatrasi,Italy,Southern Italy,8.5,85.5,2,1
La Vieille Ferme,France,Rhône Valley,8.5,84.83333333333333,6,4
Kourtaki,Greece,Attica,8.5,85.0,2,1
Famiglia Cielo,Italy,Northeastern Italy,8.5,85.0,2,2
Sierra Virgen,Spain,Central Spain,8.5,81.5,2,1
Quinta do Casal Branco,Portugal,Ribatejano,8.5,85.75,4,2
Cockatoo Ridge,Australia,Australia Other,8.5,82.0,2,2
Stone Creek,US,California,8.5,82.25,4,3
Sun Valley,Chile,Lontué Valley,8.5,82.0,2,2
Caves Velhas,Portugal,Terras do Dão,8.5,88.0,2,1
Castellani,Italy,Northeastern Italy,8.5,84.0,2,1
Conquista de Argentina,Argentina,Mendoza Province,8.5,84.0,2,1
Leaping Horse,US,California,8.5,84.78947368421052,19,5
Hardys,Australia,Australia Other,8.5,84.64285714285714,14,7
Three Thieves,US,California,8.5,86.375,8,5
Cottonwood Creek,US,California,8.5,83.0,2,2
Carta Vieja,Chile,Loncomilla Valley,8.5,84.0,2,1
Bartenura,Italy,Veneto,8.5,83.5,2,1
Osborne,Spain,Central Spain,8.5,84.3,10,6
Riscal,Spain,Northern Spain,8.5,85.0,2,1
Aletta,Spain,Northern Spain,8.5,85.0,2,1
Gru,Italy,Central Italy,8.5,83.0,2,1
Jose Maria Vieira,Portugal,Douro,8.5,87.0,2,1
Santa Rita,Chile,Aconcagua Valley,8.5,83.0,4,2
Penascal,Spain,Northern Spain,8.555555555555555,84.66666666666667,9,4
Wrongo Dongo,Spain,Levante,8.571428571428571,86.28571428571429,7,1
Sombras del Sol,Chile,Colchagua Valley,8.571428571428571,82.85714285714286,7,5
Bodegas Fontana,Spain,Central Spain,8.571428571428571,84.42857142857143,7,3
Venta Morales,Spain,Central Spain,8.583333333333334,84.75,12,1
Peter Mertes,Germany,Rheinhessen,8.6,86.2,5,3
Georges Duboeuf,France,Languedoc-Roussillon,8.636363636363637,83.54545454545455,11,5
Aveleda,Portugal,Douro,8.636363636363637,86.85714285714286,14,2
Yali,Chile,Colchagua Valley,8.666666666666666,86.0,3,1
Blue Tongue,Australia,Australia Other,8.666666666666666,83.33333333333333,3,2
G7,Chile,Central Valley,8.666666666666666,83.66666666666667,3,3
Redwood,US,California,8.666666666666666,83.66666666666667,3,3
Buffalo Grove,US,California,8.666666666666666,83.16666666666667,6,4
Viña Canchal,Spain,Central Spain,8.666666666666666,83.66666666666667,3,1
Glass Mountain,US,California,8.666666666666666,84.66666666666667,3,2
Cockatoo Ridge,Australia,South Australia,8.666666666666666,82.66666666666667,3,2
Carmen,Chile,Curicó Valley,8.666666666666666,85.33333333333333,3,2
Bodegas San Martín,Spain,Northern Spain,8.666666666666666,82.66666666666667,3,2
Turning Leaf,US,California,8.692307692307692,83.46153846153847,13,9
Santa Rita,Chile,Central Valley,8.708333333333334,84.125,24,10
Vini,Bulgaria,Thracian Valley,8.73076923076923,85.96153846153847,26,7
Maximo,Spain,Central Spain,8.733333333333333,84.93333333333334,15,3
Snap Dragon,US,California,8.75,84.75,4,4
Kirkland Signature,New Zealand,Marlborough,8.75,85.25,4,1
Manyana,Spain,Northern Spain,8.75,84.0,4,2
HRM Rex Goliath,US,California,8.75,83.375,8,6
Veo,Chile,Colchagua Valley,8.75,85.25,4,2
Bodegas Aragonesas,Spain,Northern Spain,8.789473684210526,85.0,19,7
Sanguinhal,Portugal,Lisboa,8.8,85.55555555555556,9,4
Santa Luz,Chile,Central Valley,8.8,84.6,5,4
Mont Gravet,France,Southwest France,8.8,86.2,5,1
Smoking Loon,US,California,8.84,84.56,25,8
DFJ Vinhos,Portugal,Alentejano,8.842105263157896,85.8,20,3
Targovishte,Bulgaria,Bulgaria,8.88888888888889,83.44444444444444,9,5
J. Garcia Carrion,Spain,Northern Spain,8.923076923076923,83.15384615384616,13,4
Quasar,Chile,Curicó Valley,8.933333333333334,84.53333333333333,15,6
Vizorro,Spain,Northern Spain,9.0,86.0,1,1
Tololo,Chile,Cachapoal Valley,9.0,85.0,1,1
Bolla,Italy,Sicily & Sardinia,9.0,86.5,2,2
Thorntree,South Africa,Western Cape,9.0,84.9,10,4
Tololo,Chile,Maule Valley,9.0,84.5,2,1
Finca Koch,Argentina,Other,9.0,83.0,1,1
Craftsman,US,California,9.0,86.0,1,1
Los Cielos,Argentina,Mendoza Province,9.0,83.33333333333333,3,3
Bodegas y Vinos de Lécera,Spain,Northern Spain,9.0,82.0,1,1
Villa Pozzi,Italy,Northeastern Italy,9.0,85.0,1,1
Essay,South Africa,Western Cape,9.0,85.5,2,1
Bella Bollè,Italy,Piedmont,9.0,83.5,4,1
