Winery,Country,Province,Mean_Price,Mean_Points,Wines,Variety_Count
DSG Vineyards,Spain,Northern Spain,56.5,85.5,2,1
Domaine Coquard Loison-Fleurot,France,Burgundy,56.5,84.0,2,1
Ciacci Piccolomini d'Aragona,Italy,Tuscany,56.5625,90.26086956521739,23,4
Tenuta San Leonardo,Italy,Northeastern Italy,56.57142857142857,91.0,7,2
Château Beychevelle,France,Bordeaux,56.57142857142857,92.2,20,1
Collosorbo,Italy,Tuscany,56.578947368421055,91.15,20,3
Pelissero,Italy,Piedmont,56.6,88.6923076923077,13,1
Okapi,US,California,56.666666666666664,88.33333333333333,3,3
Il Paradiso di Frassina,Italy,Tuscany,56.666666666666664,89.0,3,2
Domaine Charly Nicolle,France,Burgundy,56.666666666666664,89.0,4,1
Silver Stag,US,California,56.666666666666664,89.16666666666667,6,2
Cherry Pie,US,California,56.666666666666664,91.66666666666667,3,1
Vigin,Italy,Piedmont,56.666666666666664,88.33333333333333,6,1
460 Casina Bric,Italy,Piedmont,56.666666666666664,87.66666666666667,3,1
Tantara,US,California,56.680851063829785,90.87755102040816,49,4
Amantis,Italy,Tuscany,56.714285714285715,91.0,7,2
Olivier Rivière,Spain,Northern Spain,56.714285714285715,90.14285714285714,7,4
Máté,Italy,Tuscany,56.72222222222222,89.0,22,6
Mas d'en Gil,Spain,Catalonia,56.8,89.66666666666667,6,4
Volker Eisele Family Estate,US,California,56.8125,91.03125,32,5
Alienor,US,California,56.833333333333336,90.66666666666667,6,3
Cakebread,US,California,56.8421052631579,89.26315789473684,19,7
Sesta di Sopra,Italy,Tuscany,56.857142857142854,91.22222222222223,9,2
Flam,Israel,Galilee,56.875,89.125,8,3
Casa Donoso,Chile,Maule Valley,56.875,90.25,8,3
Sojourn,US,California,56.95180722891566,90.96385542168674,83,3
Piombaia Rossi-Cantini,Italy,Tuscany,57.0,89.0,1,1
Prix,US,California,57.0,90.33333333333333,3,3
Joseph Cellars,US,California,57.0,88.85714285714286,7,5
Chase,US,California,57.0,90.0,5,3
Château de la Font du Loup,France,Rhône Valley,57.0,94.0,1,1
Santa Rita,Chile,Apalta,57.0,89.75,4,2
Tatiarra,Australia,Victoria,57.0,91.0,2,1
Senorio de San Vincente,Spain,Northern Spain,57.0,93.0,1,1
Baracchi,Italy,Tuscany,57.0,88.0,2,2
Yves Cuilleron,France,Rhône Valley,57.0,89.6923076923077,13,3
Château Lécuyer,France,Bordeaux,57.0,90.66666666666667,3,1
29 & Oak Wines,US,California,57.0,88.8,5,4
A. D. Coutelas,France,Champagne,57.0,89.4,5,2
Three Sticks,US,California,57.06896551724138,91.27586206896552,29,3
Felsina,Italy,Tuscany,57.07692307692308,91.1875,16,4
Virna Borgogno,Italy,Piedmont,57.11764705882353,88.82608695652173,23,3
Robert Craig,US,California,57.148148148148145,90.74074074074075,27,6
Merryvale,US,California,57.180851063829785,90.23404255319149,94,10
Revello Fratelli,Italy,Piedmont,57.22222222222222,88.5,10,1
Cerbaia,Italy,Tuscany,57.25,88.75,4,1
Ilsley,US,California,57.25,90.75,8,3
Bertrand-Delespierre,France,Champagne,57.27272727272727,87.18181818181819,11,1
Pedestal,US,Washington,57.27272727272727,91.36363636363636,11,1
Tenuta Friggiali,Italy,Tuscany,57.333333333333336,89.53333333333333,15,2
Château Mille-Roses,France,Bordeaux,57.333333333333336,88.66666666666667,3,1
Tommaso Bussola,Italy,Veneto,57.333333333333336,87.92857142857143,14,1
Tenuta Argentiera,Italy,Tuscany,57.34782608695652,90.0,26,6
Duval-Leroy,France,Champagne,57.36,90.39393939393939,33,5
HammerSky,US,California,57.45454545454545,88.31818181818181,22,6
Villa I Cipressi,Italy,Tuscany,57.45454545454545,90.15384615384616,13,2
José Dhondt,France,Champagne,57.5,91.5,2,1
Valley Legend,US,California,57.5,87.0,6,1
Meola Vineyards,US,California,57.5,85.75,4,1
Starfield,US,California,57.5,89.0,4,3
Casca Wines,Portugal,Dão,57.5,93.5,2,1
Grand Napa,US,California,57.5,90.0,2,2
Pier,Italy,Piedmont,57.5,87.25,8,2
Domus Vitae,Italy,Tuscany,57.5,89.16666666666667,6,2
Palazzo Wine,US,California,57.5,86.5,2,2
Screen Door Cellars,US,California,57.5,91.0,2,1
Cain,US,California,57.5,90.75,4,3
Amalia,Italy,Piedmont,57.5,90.0,8,1
Delmas,US,Washington,57.5,92.5,2,1
Château Magdelaine,France,Bordeaux,57.5,92.0,10,1
Heibel Ranch,US,California,57.5,83.5,2,2
Bellavista,Italy,Lombardy,57.513513513513516,89.86363636363636,44,3
Bouchard Aîné & Fils,France,Burgundy,57.513513513513516,87.625,40,2
Feudi della Medusa,Italy,Sicily & Sardinia,57.6,88.66666666666667,15,5
Gilles Flacher,France,Rhône Valley,57.6,91.4,5,3
Avignonesi,Italy,Tuscany,57.608695652173914,89.82608695652173,23,7
Yatir,Israel,Judean Hills,57.64705882352941,89.88235294117646,17,6
Tardieu-Laurent,France,Rhône Valley,57.660377358490564,90.42592592592592,54,6
Hersly,US,California,57.666666666666664,89.33333333333333,3,3
Lynmar,US,California,57.69285714285714,92.35664335664336,143,4
Château de Fuissé,France,Burgundy,57.7027027027027,91.16216216216216,37,1
Pine & Brown,US,California,57.714285714285715,90.14285714285714,7,4
Produttori del Barbaresco,Italy,Piedmont,57.74074074074074,91.77777777777777,27,1
Chartron et Trébuchet,France,Burgundy,57.75,88.75,12,1
Dominio de Berzal,Spain,Northern Spain,57.75,90.5,4,3
Bugay,US,California,57.75,89.375,8,4
Martinelli,US,California,57.75,92.75,4,2
Jeaunaux-Robin,France,Champagne,57.8,90.125,8,2
Battaglio,Italy,Piedmont,57.833333333333336,87.6,10,3
Château Laforge,France,Bordeaux,57.857142857142854,89.83333333333333,12,1
Sequel,US,Washington,57.857142857142854,91.35714285714286,14,1
Wittmann,Germany,Rheinhessen,57.916666666666664,91.26315789473684,38,5
Chanticleer,US,California,58.0,87.0,1,1
Rattalino,Italy,Piedmont,58.0,88.6,10,1
Sererraglio Carole Bouquet,Italy,Sicily & Sardinia,58.0,91.0,1,1
Terre di Leone,Italy,Veneto,58.0,88.6,5,1
Lucie,US,California,58.0,92.3,10,2
Barnaut,France,Champagne,58.0,86.0,1,1
Jaffe,US,California,58.0,90.0,2,2
La Rasina,Italy,Tuscany,58.0,90.4,10,2
Mad Hatter,US,California,58.0,92.0,1,1
Pierre Péters,France,Champagne,58.0,90.66666666666667,3,2
Château Calissanne,France,Provence,58.0,88.0,3,3
Séamus Wines,US,California,58.0,87.0,3,3
Casetta,Italy,Piedmont,58.0,88.5,4,1
Domaine Chevillon-Chezeaux,France,Burgundy,58.0,89.2,10,2
Rudius,US,Oregon,58.0,91.0,1,1
Hartford Court,US,California,58.0,92.84,25,3
